term	section	course	instructor	whenWhere
Summer 2021	7446	COUNS-095	Jamshidnejad	NOT AVAILABLE
Summer 2021	7485	COUNS-095	Jamshidnejad	NOT AVAILABLE
Summer 2021	9000	COUNS-095	Warren	NOT AVAILABLE
Summer 2021	7700	COUNS-096	Armstrong	NOT AVAILABLE
Summer 2021	7702	COUNS-096	Armstrong	NOT AVAILABLE
Summer 2021	7703	COUNS-096	Armstrong	NOT AVAILABLE
Summer 2021	5058	COUNS-120	Lau	NOT AVAILABLE
Summer 2021	9160	COUNS-120	Hanna	NOT AVAILABLE
Summer 2021	5094	COUNS-130	Wade	NOT AVAILABLE
Summer 2021	2181	CULN-100	Fuller	NOT AVAILABLE
Summer 2021	3775	CULN-105	Bernhardt	NOT AVAILABLE
Summer 2021	3776	CULN-105	Craib	NOT AVAILABLE
Summer 2021	4313	CULN-110	Craib	NOT AVAILABLE
Summer 2021	3351	CULN-131	Matthesen	NOT AVAILABLE
Summer 2021	3825	CULN-153	Anderson	NOT AVAILABLE
Summer 2021	7345	CULN-295	Greenberg	NOT AVAILABLE
Summer 2021	1146	DENHY-120	Storz	NOT AVAILABLE
Summer 2021	1165	DENHY-129	Ward	NOT AVAILABLE
Summer 2021	1151	DENHY-133	Thompson	NOT AVAILABLE
Summer 2021	1167	DENHY-134	Thompson	NOT AVAILABLE
Summer 2021	1156	DENHY-136	Lang	NOT AVAILABLE
Summer 2021	1180	DENHY-150G	Storz	NOT AVAILABLE
Summer 2021	5650	DENTL-120	Shipp	NOT AVAILABLE
Summer 2021	2900	DENTL-175	Rodriguez	NOT AVAILABLE
Summer 2021	5076	DRAMA-139	Dildine	NOT AVAILABLE
Summer 2021	7151	DRAMA-296	Brooks	NOT AVAILABLE
Summer 2021	8344	ECE-123	Quilici	NOT AVAILABLE
Summer 2021	5200	ECE-124	Pitner	NOT AVAILABLE
Summer 2021	8015	ECE-124	Mason	NOT AVAILABLE
Summer 2021	8804	ECE-125	Bryson	NOT AVAILABLE
Summer 2021	5889	ECE-126	Pitner	NOT AVAILABLE
Summer 2021	3933	ECE-130	Mason	NOT AVAILABLE
